stay_year,property_id,Hotel_short_nm,Hotel_region,stays_count,room_nights,room_revenue,total_revenue,ADR,revenue_per_stay,TrevPOR,attach_rate
2022,CHI,Chiang Mai,APAC,4128,10377.0,5452413.033297151,7602163.733144168,525.4324981494798,1320.8364906243098,732.5974494694196,1.3942751010825443
2022,CHR,Golden Triangle,APAC,810,1858.0,2911914.0763945016,4516219.6605622405,1567.2303963371915,3594.9556498697552,2430.688730119613,1.5509453720400197
2022,COS,Costa Rica,Americas,8478,37241.0,52833642.99485099,71594677.23129086,1418.695604168819,6231.852205101556,1922.4692471010676,1.355096358550711
2022,DEN,Denver,Americas,24044,47739.0,20502576.19889849,25253086.37148924,429.4722595550491,852.7107053276698,528.9823073690116,1.2317030858222575
2022,DIF,Dubai at DIFC,EMEA,8954,24631.0,17161427.343506478,24319528.22699967,696.7409907639347,1916.6213249392983,987.3544812228358,1.4171040520240683
2022,DJB,Dubai at Jumeirah Beach,EMEA,12854,50859.0,68670235.71270834,90796292.02229472,1350.2081384358391,5342.32423469024,1785.2551568511908,1.3222073738344786
2022,DOH,Doha,EMEA,16302,39754.0,24859146.411911726,31793385.814346295,625.3244053909475,1524.9139008656439,799.7531270902625,1.2789411706876588
2022,EMB,San Francisco at Embarcadero,Americas,12669,27093.0,17476115.64,19745422.57,645.0417318126454,1379.4392327729104,728.8016303104123,1.1298519062671983
2022,FLO,Florence,EMEA,7421,20136.0,32606042.805529483,40026088.1808834,1619.2909617366647,4393.753241548239,1987.787454354559,1.2275665716201414
2022,FTL,Fort Lauderdale,Americas,6834,17667.0,13246055.18,17433025.17,749.7625618384559,1938.2580011706175,986.7563915775175,1.31609184267342
2022,GEN,Geneva,EMEA,9904,23075.0,31422402.858715396,39668222.04228702,1361.7509364557052,3172.698188480957,1719.0995467946705,1.2624184796002813
2022,GHF,Cap Ferrat,EMEA,4091,12125.0,31170265.497499514,37373925.376117244,2570.743546185527,7619.228916523958,3082.3855980302883,1.199024929034223
2022,GUA,Guangzhou,APAC,51166,67199.0,14981586.658355922,18878789.193622723,222.94359526713077,292.803554281279,280.9385436334279,1.2601328299958905
2022,HAM,Hampshire,EMEA,9883,18554.0,13971773.165193403,18753683.512256175,753.0329398077721,1413.7178149543056,1010.7622891158874,1.3422550803340771
2022,HAN,Hangzhou,APAC,4831,9067.0,5552328.616583286,7141188.202933211,612.3666721719737,1149.3124853204897,787.6020958346985,1.2861609418441906
2022,HFS,Houston,Americas,24575,59096.0,23059131.57,27098801.22,390.1978402937593,938.3166457782299,458.55559124136994,1.1751874149178982
2022,HKG,Hong Kong,APAC,27884,45389.0,17647219.07751446,27127883.930643585,388.79946853895126,632.8797546088961,597.6752942484651,1.5372327963678478
2022,IST,Istanbul at Sultanahmet,EMEA,1361,3808.0,3524217.1365930573,4294581.91486877,925.4771892313701,2589.432135630461,1127.7788641987318,1.2185917463134641
2022,JAC,Jackson Hole,Americas,7082,25437.0,42071285.62298855,50148567.89261818,1653.940544206807,5940.593846793075,1971.4812239107669,1.1919903837028467
2022,JBG,Johannesburg,EMEA,6650,13405.0,3554363.139260897,5390983.251057733,265.1520432123012,534.4906976332176,402.1621224213154,1.5167226982268185
2022,JKR,Jakarta Capital Place,APAC,11973,24796.0,4207011.54788092,5563939.271666235,169.66492772547667,351.37488915734735,224.38858169326647,1.3225395766904426
2022,KOE,Lanai Sensei,Americas,4196,14679.0,12453653.56,21618586.22,848.3993160297023,2967.9822592945666,1472.7560610395803,1.7359232064586192
2022,KOH,Koh Samui,APAC,2630,10072.0,9132955.297728134,12978060.426798023,906.7668087498148,3472.606577082941,1288.5286364970239,1.421014338045252
2022,KON,Hualalai,Americas,12719,60616.0,105093241.72878169,138551122.2827224,1733.7541528438314,8262.696888810573,2285.718659804712,1.318363769197327
2022,KUA,Kuala Lumpur,APAC,14966,37160.0,7673906.770136714,9764168.42591527,206.5098700252076,512.7560316809244,262.76018368986195,1.2723855942468423
2022,KUW,Kuwait,EMEA,22461,37955.0,15683610.823067496,19837846.600596443,413.2159352672242,698.2596867043985,522.6675431589103,1.2648775096751883
2022,KYO,Kyoto,APAC,7818,12517.0,11308001.778060595,15520184.630576437,903.4115026013097,1446.4059577974667,1239.9284677300022,1.3724957720371231
2022,LAN,Langkawi,APAC,4424,13144.0,7161178.927268399,10315034.622843552,544.8249336022823,1618.7113307568713,784.7713498815849,1.4404101234736468
2022,LAX,Los Angeles,Americas,19952,60318.0,44987645.94,50665597.70776384,745.8411409529493,2254.7938021251002,839.974762222949,1.1262113553426762
2022,LCB,Los Cabos at Costa Palmas,Americas,5051,19553.0,23769483.878840826,34203332.19999345,1215.6438336235271,4705.89663014073,1749.262629775147,1.438959818157459
2022,LIS,"Lisbon, Ritz",EMEA,11804,36054.0,23530555.611000556,28526505.06112057,652.6475733899306,1993.4391402067567,791.2160942231255,1.2123175301387445
2022,LON,London,EMEA,9754,35451.0,50660255.36894657,59984402.02776372,1429.02189977565,5193.79284077779,1692.0369531963474,1.184052500148521
2022,MAC,Macau,APAC,17466,35441.0,5163171.45249951,6511153.076612515,145.68357135801782,295.61270196378734,183.7180970235748,1.2610762854796238
2022,MAL,Maldives at Kuda Huraa,APAC,2755,13571.0,21944874.536186744,33731817.6643167,1617.0418197764898,7965.471700975225,2485.5808462395325,1.5371159952950961
2022,MAN,Lanai,Americas,6704,26501.0,50186778.05,65971960.9,1893.7692181427115,7486.094577863962,2489.4140183389304,1.314528715795893
2022,MAR,Tokyo at Marunouchi,APAC,6351,10824.0,5241625.877674763,7333246.817672714,484.25959697660414,825.3229220083078,677.498782120539,1.3990404864465096
2022,MAS,Mauritius at Anahita,EMEA,4700,24582.0,22402675.654878125,32418868.27492207,911.3447097420114,4766.526735080452,1318.8051531576791,1.4470980508912088
2022,MAU,Maui,Americas,19105,90703.0,147610771.25067315,184838995.0689919,1627.4078172791765,7726.290041909089,2037.848748872605,1.2522053336819008
2022,MCA,"Macau, Grand Suites",APAC,6325,27750.0,11086336.665898323,14546103.573912317,399.50762759993955,1752.7805005372843,524.1839125734168,1.3120748550471384
2022,MEX,Mexico City,Americas,17526,58249.0,21654165.187881287,25588991.146538895,371.75170711739753,1235.54520072357,439.30352703975854,1.1817121983007557
2022,MFL,Surf Club,Americas,6873,21226.0,57479994.77,66748081.44,2707.9993767078113,8363.159431107231,3144.63777631207,1.1612402142186207
2022,MIA,Miami,Americas,4293,11534.0,6561841.625840708,7519067.330169861,568.9129205688146,1528.497932876941,651.9045717157848,1.145877599447017
2023,ABS,Abu Dhabi,EMEA,15353,36260.0,13325095.883240975,18321244.154635627,367.4874760960004,867.9147973191542,505.27424585316123,1.3749427632770979
2023,AIL,Anguilla,Americas,5618,28173.0,51169303.93,64859653.63,1816.253289674511,9108.099667141332,2302.191943704966,1.2675500475583663
2023,ALX,Alexandria,EMEA,10675,25933.0,7441456.622255016,8896602.175289009,286.9493164020752,697.0919552463715,343.06104867500903,1.195545795252252
2023,AMM,Amman,EMEA,13463,37050.0,8346624.56865282,11824003.791677989,225.28001534825424,619.9676571828581,319.1364046336839,1.4166210178046181
2023,APL,"Athens, Astir Palace",EMEA,12814,40735.0,64785474.04877389,75513472.70192733,1590.4130121216126,5055.835340157163,1853.7737253449695,1.1655926549997433
2023,ATL,Atlanta,Americas,24707,49562.0,17981366.988638427,22185004.011521805,362.8055160937498,727.784311678408,447.62124231309883,1.2337773888681243
2023,AUS,Austin,Americas,24338,50071.0,25311106.91,30539542.56,505.504322062671,1039.983026953735,609.9247580435781,1.2065668510109422
2023,BAH,Bahrain,EMEA,19747,42491.0,23318162.03110845,30942550.55905223,548.7788480174261,1180.8458009372791,728.2142232249706,1.326972105167302
2023,BAL,Bali at Jimbaran Bay,APAC,8642,29379.0,22030312.50138207,29191767.40145163,749.8659757439692,2549.2145916896634,993.6269921185755,1.3250727786825667
2023,BCB,Boston at One Dalton,Americas,19645,43113.0,27536243.42,32721169.64,638.6993115765547,1401.6922076864344,758.9629494584,1.1882946101585559
2023,BEJ,Beijing,APAC,31620,77527.0,15351166.510371862,19796288.82805566,198.0105835434347,485.48913695040676,255.34702526933404,1.2895625107499484
2023,BEV,Beverly Wilshire,Americas,29420,80208.0,58795843.35,69877223.05,733.0421323309396,1998.499094153637,871.2001676890086,1.1884721617825045
2023,BHA,Bogota,Americas,4609,13230.0,4464185.019654511,5636491.092632912,337.4289508431225,968.5799565316794,426.0386313403562,1.2626024835030534
2023,BIH,Bogota Casa Medina,Americas,4486,11479.0,3788830.700897386,4830051.192256872,330.0662689169253,844.5899912834119,420.77281925750253,1.2748131477906555
2023,BKU,Baku,EMEA,8187,24644.0,9292271.235482452,11264369.899012852,377.0601864746978,1135.003204529431,457.0836673840632,1.2122299934595064
2023,BLT,Baltimore,Americas,25556,50935.0,19664934.28,22811279.919999998,386.0790081476392,769.484046016591,447.85078865220373,1.1599977704069906
2023,BNG,Bengaluru,APAC,11833,29854.0,5048497.177641623,6518031.188707803,169.10622287270124,426.6455824931651,218.33024682480752,1.2910834569888112
2023,BOC,"Bahamas, The Ocean Club",Americas,5158,20144.0,49191685.19,58817694.18,2442.001846207307,9536.96882318728,2919.861704725973,1.1956836598059226
2023,BOP,Istanbul at the Bosphorus,EMEA,9151,25491.0,28187674.138383463,35144323.96692672,1105.789264382859,3080.2834814100606,1378.6953813866355,1.246797582318802
2023,BOR,Bora Bora,Americas,5260,25470.0,48379049.53592836,69006302.17458226,1899.4522785994645,9197.53793458714,2709.316928723292,1.4263674635305768
2023,BOS,Boston,Americas,15770,33177.0,25540844.19,28910261.560699873,769.8358558640022,1619.5842859860495,871.3946879072813,1.131922709587614
2023,BPY,Bangkok at Chao Phraya River,APAC,18513,47087.0,20239505.668915793,29020053.32110931,429.83213347454273,1093.259097332458,616.3071191859602,1.4338321200047313
2023,BUD,Budapest,EMEA,9640,26302.0,15652318.578353932,19118658.584440704,595.0999383451423,1623.684499829246,726.8899165250059,1.2214585646678875
2023,BUE,Buenos Aires,Americas,12783,36453.0,17793223.942852225,20756385.690540742,488.1141179834918,1391.9442965541912,569.4013027882683,1.1665331565097767
2023,CAF,Cairo at The First Residence,EMEA,19174,58264.0,11645526.920734137,13316226.37579965,199.87517027210862,607.3603275651475,228.54981422146867,1.1434627618344118
2023,CAI,Cairo at Nile Plaza,EMEA,21469,68969.0,25046934.312228754,31171379.27471587,363.1622078358212,1166.6558438785576,451.9621753935227,1.2445187457331637
2023,CAR,Aviara Residences,Americas,3333,9118.0,4481752.775193636,5411699.346794564,491.5280516773016,1344.6602985879497,593.5182437809349,1.207496178001641
